Titolo;Contenuto
Intervento unitario convenzionato produttivo IUC-P-CR18 per: Variante Urbanistica ai sensi dell'art. A 14 bis della L.R. n. 20/2000 e autorizzazione per ampliamento di capannone esistente a destinazione produttiva e nuova costruzione di fabbricato produttivo in aderenza all'esistente in ambito di espansione e relativa documentazione di valutazione di compatibilità ambientale Valsat sito in località Crespellano Via Di Vittorio 29-31 di cui all'istanza di Autorizzazione Unica Suap n. 1334/16 della Ditta La Rocca srl;Si avvisa che l'intervento unitario convenzionato produttivo IUC-P-CR18 per: Variante Urbanistica ai sensi dell'art. A 14 bis della L.R. n. 20/2000 e Autorizzazione per ampliamento di capannone esistente a destinazione produttiva e nuova costruzione di fabbricato produttivo in aderenza all'esistente in ambito di espansione e relativa documentazione di compatibilità ambientale Valsat sito in località Crespellano Via Di Vittorio 29-31 di cui all'istanza di Autorizzazione Unica Suap n. 1334/16 della Ditta La Rocca srl (Pratica Suap 1334/16 - Fasc. 2016.06.01.4.2.), sono depositati dal 30 novembre 2016 fino al 29 gennaio 2017 in formato digitale sul sito web del Comune di Valsamoggia / Territorio/ Urbanistica / Pianificazione e Governo del Territorio. Entro il 29 gennaio 2017, chiunque può presentare osservazioni/opposizioni e proposte sui contenuti della variante urbanistica le quali saranno valutate prima dell'approvazione definitiva.
Avviso di deposito del progetto di impianto idroelettrico sul Fiume Savio nel Comune di Sarsina, presentato da Idro-Savio S.r.l. - Autorizzazione Unica D.Lgs. 387/03 con apposizione del vincolo preordinato all'esproprio e dichiarazione di pubblica utilità, indifferibilità ed urgenza delle opere;Si rende noto che la ditta Idro-Savio S.r.l. – con sede legale in Mercato Saraceno (FC), – Via I Maggio n. 55 – con domanda presentata in data 09/10/15, (prot. Prov. n. 88006/15) come integrata con note acquisite ai prott. provv. n. 95562/2015 del 09/11/2015, n. 99263/2015 del 20/11/2015, ha chiesto l'autorizzazione unica per la costruzione e l'esercizio (ai sensi del D.Lgs. 387/03), di un impianto di produzione di energia elettrica da fonte rinnovabile di tipo “idroelettri co” di potenza elettrica massima pari a 190,00 kWe e potenza idraulica nominale media di concessione pari a 107,00 kW, da realizzare in Comune di Sarsina (identificato catastalmente alle particelle 26, 27, 83 del Foglio n° 57 del Comune di Sarsina).
Procedure in materia di Valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9, Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387, Procedura di variante agli strumenti urbanistici L.R. 18 maggio 1999, n. 9, Procedura espropriativa L.R. 19 dicembre 2002, n. 37, Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche L.R. 22 febbraio 1993, n. 10, Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41. Titolo III – Procedura di VIA relativa al progetto denominato “Impianto idroelettrico di Pian di Venola” in Comune di Marzabotto (BO). Proponente RENO ENERGIA SRL;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, della L.R. 19 dicembre 2002, n. 37, del D.P.R. 327 dell'8 giugno 2001, della L.R. 22 febbraio 1993, n. 10 
Procedure in materia di valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9 - Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41 - Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche L.R. 22 febbraio 1993 n°10. L.R. 9/99 Titolo III – Procedura di VIA relativa al progetto Impianto idroelettrico sul Torrente Ceno in comune di Varsi, loc. Golaso proposto dal Sig. Bragazza Antonio;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi dell’art. 12 del D.Lgs. 29 dicembre 2003, n. 387, del R.R. 20 novembre 2001, n. 41, del R.D. n. 1775 dell’11 dicembre 1933, del D.P.R. n. 327 dell’8 giugno 2001, della L.R. 37/2002, della L.R. 22 febbraio 1993, n. 10, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato.
Procedure in materia di valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9. - Procedura di autorizzazione unica D.Lgs. 20 dicembre 2003, n. 387 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41 - Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche L.R. 22 febbraio 1993 n. 10. L.R. 9/99 Titolo III – Procedura di VIA relativa al progetto di impianto idroelettrico sul torrente Enza denominato “Il Moro” nel Comune di Parma (PR);L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi dell’art. 12 del D.Lgs. 29 dicembre 2003 n. 387, del R.R. 20 novembre 2001 n. 41, del R.D. n. 1775 dell’11 dicembre 1933, del D.P.R. n. 327 dell’8 giugno 2001, della L.R. 37/2002 e della L.R. 22 febbraio 1993 n. 10, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato.
Procedure in materia di valutazione di impatto ambientale l.r. 18 maggio 1999, n. 9 - Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387 - Procedura di variazione agli strumenti urbanistici l.r. 18 maggio 1999, n. 9 - Procedura espropriativa l.r. 19 dicembre 2002, n. 37 - Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche l.r. 22 febbraio 1993, n. 10 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41. Titolo III – Procedura di VIA relativa al progetto denominato “Impianto idroelettrico Ponte Enza”, sul torrente Enza nel Comune di Gattatico (RE) ;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, del R.R. 20 novembre 2001 n. 41, del R.D. 1775 dell’11 dicembre 1933, del D.P.R. 327 dell’8 giugno 2001, della L.R. 37/2002 e della L.R. 22 febbraio 1993 n. 10, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato:
Procedure in materia di Valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9. Titolo III – Procedura congiunta di VIA e modifica autorizzazione unica ex art. 208 DLgs 152/06 relativa al progetto denominato Ampliamento impianto di messa in riserva e recupero rifiuti non pericolosi e fanghi biologici in Mezzogoro di Codigoro (FE);L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura congiunta di VIA e modifica autorizzazione unica ex art. 208 Dlgs 152/06, relativa al progetto di seguito indicato.
"Procedure in materia di valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9. Procedura di Autorizzazione Unica D.Lgs. 29 dicembre 2003, n. 387 – Procedura espropriativa L.R. 19 dicembre 2002, n. 37 – Procedura di variazione agli strumenti urbanistici - Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche L.R. 22 febbraio 1993, n. 10 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41. Titolo III – Procedura di VIA relativa ai progetti: progetto denominato “realizzazione di un impianto di produzione di energia elettrica da fonte rinnovabile di tipo “micro-idroelettrico” sul Fiume Bidente di potenza pari a 71 kw, in comune di Meldola – località Gualdo, presentato da Energie e Servizi S.r.l.; progetto denominato “realizzazione di un impianto ad acqua fluente per la produzione di energia idroelettrica sul Fiume Bidente di potenza nominale pari a 99,76 kW, in Comune di Meldola - località Gualdo, presentato da Marco Malizia";L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003, n. 387, e del R.R. 20 novembre 2001, n. 41, del R.D. 1775 dell'11 dicembre 1933, del D.P.R. 327 dell'8 giugno 2001, della L.R. Del 19 dicembre 2002, n. 37 e della L.R. 22 febbraio 1993, n. 10, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativi ai due progetti di seguito indicati:
Domanda di Autorizzazione Unica, art. 8 del D.P.R. n. 160/2010, Società Agricola Costa Azzurra di Maini Matteo & C., con sede a S.Nicolò di Argenta (FE) in via Nazionale n. 11, per la realizzazione di un magazzino per la conservazione di frutta - Progetto in variante al POC assoggettato a Valutazione Ambientale Strategica (VAS);Si avvisa che è depositato, ai sensi e per gli effetti dell’art. 8, comma 1, del DPR 160/2010, nonché ai fini dell’avvio della procedura di VAS ex articolo 15 D.Lgs 152/2006, il Progetto in variante al POC presentato dalla Ditta Società Agricola Costa Azzurra di Maini Matteo & C., con sede in Loc. S. Nicolò di Argenta, Via Nazionale n.11, in qualità di affittuario dell’immobile di proprietà della Ditta Bruco Mela S.a.s. di Bonoli Gabriella & C., per la realizzazione di un magazzino per la conservazione di frutta.
Procedure in materia di Valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9 - Procedura di Autorizzazione Unica D.Lgs. 29 dicembre 2003, n. 387 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41 - Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche L.R. 22 febbraio 1993, n. 10. L.R. 9/99 Titolo III – Procedura di VIA relativa al progetto denominato impianto idroelettrico ad acqua fluente sul Torrente Ceno “Madonna dell’Aiuto”;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi dell’art. 12 del D.Lgs. 29 dicembre 2003 n. 387, del R.R. 20 novembre 2001 n. 41, del R.D. 1775 dell’11 dicembre 1933, del D.P.R. 327 dell’8 giugno 2001, della L.R. 37/2002, della L.R. 22 febbraio 1993 n. 10 e della sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato.
