Key
"SPAIN,BELLVEI,43719"
"SWITZERLAND,ERMENSWIL,8734"
"FRANCE,SAINT OUEN L'AUMONE,95310"
"AUSTRIA,NIEDERNEUKIRCHEN,4491"
"PORTUGAL,PORTALEGRE,7300-058"
"ITALY,RIVALTA,10100"
"GERMANY,KUEMMERSBRUCK,92245"
"BELGIUM,DIKSMUIDE,8600"
"GERMANY,REMSCHEID,42857"
"FRANCE,BELLAC,87300"
"ITALY,SALERNO,84100"
"GERMANY,LANGENAU,89129"
"ITALY,CENTO,44042"
"SPAIN,ALBACETE,2080"
"PORTUGAL,EVORA,7006-801"
"ITALY,TORINO,10156"
"ITALY,CAVENAGO,20873"
"TURKEY,MALTEPE,"
"ITALY,MODENA,41011"
"BULGARIA,KARDJALI,6600"
"BELGIUM,NIVELLES,1400"
"GERMANY,LEUTKIRCH,88299"
"BELGIUM,AARTSELAAR,2630"
"GERMANY,HEILIGENHAUS,42579"
"NETHERLANDS,RIDDERKERK,2983 BR"
"NORWAY,RAUFOSS,2830"
"GERMANY,MECKENHEIM,53340"
"FRANCE,BERGUES,59380"
"UNITED KINGDOM,TILBURY,RM18 7HY"
"UNITED KINGDOM,ALCESTER,B49 6EH"
"ITALY,CHIVASSO,10034"
"BELGIUM,BRUSSEL,1080"
"POLAND,WIECBORK,89-410"
"SPAIN,ABRERA,8630"
"BELGIUM,LANAKEN,3620"
"GERMANY,SULZBACH,66280"
"FRANCE,JOUE LES TOURS,37304"
"GERMANY,NIEDERNHALL,74676"
"GERMANY,REMAGEN,53424"
"FRANCE,CHAMBRAY-LES-TOURS,37170"
"ITALY,ADRO,25030"
"GERMANY,FRIEDRICHSHAFEN,88045"
"NETHERLANDS,UTRECHT,3542 CG"
"BELGIUM,AALTER,9880"
"ITALY,LUOGOSANO,83040"
"ITALY,FINALE EMILIA,41034"
"GERMANY,WEMDING,86650"
"ITALY,TORREGLIA,35038"
"GERMANY,RENNINGEN,71272"
"ITALY,REMEDELLO,25010"
"SPAIN,BURGOS,9080"
"DENMARK,RODEKRO,6230"
"FRANCE,CHAULNES,80320"
"BELGIUM,BRUGGE,8000"
"GERMANY,PASSAU,94034"
"FRANCE,PERSAN,95340"
"ITALY,ROCCA S. FELICE,83050"
"FRANCE,MERKWILLER PECHELBRONN,67250"
"FRANCE,LORETTE,42420"
"POLAND,BLONIE,05-870"
"FRANCE,ST SYMPHORIEN D OZON,69360"
"GERMANY,ELCHINGEN,89275"
"ITALY,MONDOVI,12084"
"ITALY,ATESSA,66041"
"FRANCE,MOUILLERON LE CAPTIF,85000"
"GERMANY,MONHEIM,40789"
"ITALY,CAMPOSANTO,41031"
"FRANCE,NOGENT,52800"
"FRANCE,GEVIGNEY,70500"
"AUSTRIA,SCHWARZACH IM PONGAU,5620"
"ITALY,SEZZE,4018"
"POLAND,MIEDZYRZECZ,66-300"
"ITALY,CUORGNE,10082"
"ITALY,DESIO,20033"
"FRANCE,AMIENS CEDEX 2,80009"
"ITALY,MORRA DE SANCTIS,83040"
"ITALY,POIRINO,10046"
"FRANCE,BOURBON LANCY,71140"
"AUSTRIA,LEND,5651"
"POLAND,PLOCK,09-400"
"FRANCE,CHAUMONT,52000"
"ITALY,SANT'AGATA FELTRIA,47866"
"ITALY,PONTIROLO NUOVO,24040"
"GERMANY,WUPPERTAL,42279"
"GERMANY,LOHR AM MAIN,97816"
"POLAND,BIALYSTOK,15-399"
"ITALY,FISCIANO,84084"
"CZECH REPUBLIC,CHOCEN,565 01"
"FRANCE,MISSILLAC,44780"
"CZECH REPUBLIC,MYSLINKA,330 23"
"FRANCE,LA TOUR DU PIN,38110"
"FRANCE,SAINT DESIRAT,7340"
"ITALY,PIANFEI,12080"
"POLAND,LODZ,92-402"
"ITALY,FABBRICO - REGGIO EMILIA,42042"
"FRANCE,BEAUTOR,2800"
"ITALY,SPARONE,10080"
"GERMANY,HAUSACH,77756"
"ITALY,CASTEL ROZZONE,24040"
"UNITED KINGDOM,BORDON,GU35 9QE"
"IRELAND,CARLOW,IE 9Z2654"
"UNITED KINGDOM,NORTH TYNESIDE,NE27 0YT"
"UNITED KINGDOM,BASILDON,SS14 3BE"
"TURKEY,SEKERPINAR/GEBZE/KOCAELI,41410"
"GERMANY,DUELMEN-DERNEKAMP,48249"
"POLAND,MYSLOWICE,41-409"
"SLOVENIA,SEMPETER PRI GORICI,5290"
"GERMANY,STADTILM,99326"
"GERMANY,GARCHING,85748"
"UNITED KINGDOM,BIRMINGHAM,B6 7FE"
"GERMANY,VILLINGEN-SCHWENNINGEN,78052"
"GERMANY,NEUBRANDENBURG,17033"
"SWEDEN,SOLVESBORG,29402"
"GERMANY,HEIMSTETTEN,85551"
"FRANCE,STRASBOURG,67100"
"GERMANY,RHEINE,48432"
"SPAIN,POLINYA,8213"
"ITALY,MANOPPELLO SCALO,65025"
"FRANCE,LA FERTE SAINT AUBIN,45240"
"POLAND,GDAŃSK,80-718"
"CZECH REPUBLIC,PROSTEJOV,797 11"
"PORTUGAL,VILA NOVA CERVEIRA,4920-011"
"FRANCE,ARGENTEUIL,95100"
"NETHERLANDS,SLIEDRECHT,3361 GN"
"GERMANY,NEUBRANDENBURG WERNER,17033"
"SPAIN,LINARES JAEN,23700"
"FRANCE,BEZONS,95870"
"SWEDEN,RINKABY,291 76 "
"GERMANY,KOBLENZ,56070"
"BELGIUM,HOBOKEN,2660"
"FRANCE,HERBLAY,95220"
"ITALY,MOLINETTO DI MAZZANO,25080"
"GERMANY,LOHMAR,53797"
"ITALY,CASTELFRANCO EMILIA,41013"
"ITALY,REGGIO EMILIA,42010"
"NETHERLANDS,DORDRECHT,3316 LB"
"AUSTRIA,PASCHING,4061"
"UNITED KINGDOM,YORK,YO41 1AL"
"UNITED KINGDOM,HULL,HU8 8BT"
"GERMANY,DAMME,49401"
"GERMANY,PASSAU,94036"
"GERMANY,BAD SCHÖNBORN,76669"
"GERMANY,ESSLINGEN-METTINGEN,73733"
"GERMANY,BIETIGHEIM BISSINGEN,74321"
"AUSTRIA,HALLEIN,5400"
"GERMANY,LIMBACH-OBERFROHNA,9212"
"POLAND,JELENIA GORA,58-500"
"FRANCE,PANNES,45700"
"ITALY,COLLEGNO,10093"
"CZECH REPUBLIC,KLASTEREC NAD OHRI,431 51"
"GERMANY,DULMEN,48249"
