,0
"""AUSTRIA,NIEDERNEUKIRCHEN,4491""
","48.1637517,14.3385399"
"""TURKEY,ORHANGAZI - BURSA,16801""
","40.438609,29.7194748"
"""GERMANY,HEIMSTETTEN,85551""
","48.1591426,11.7551851"
"""NETHERLANDS,ERMELO,3851 SK""
","52.3178971,5.6217592"
"""FRANCE,CHANAS,38150""
","45.318707,4.82183"
"""ITALY,BODIO LOMNAGO,21020""
","45.7896373,8.7512433"
"""ITALY,VIRLE PIEMONTE,10060""
","44.8626092,7.5713097"
"""ITALY,PIANCAMUNO,25050""
","45.8442967,10.1504402"
"""GERMANY,LOHMAR,53797""
","50.8601727,7.2538128"
"""PORTUGAL,EVORA,7006-801""
","38.5577354,-7.9262612"
"""ITALY,CASTEL GOFFREDO,46042""
","45.2989404,10.4767787"
"""ITALY,BRESCIA,25135""
","45.5212817,10.2813804"
"""UNITED KINGDOM,LINCOLN,LN6 7QY""
","53.2092485,-0.5748751"
"""ITALY,SOMMARIVA PERNO,12040""
","44.7504991,7.8948311"
"""ITALY,CASTRONNO,21040""
","45.7477175,8.8119097"
"""ITALY,CASCINE VICA -RIVOLI,10090""
","45.0699446,7.5404307"
"""ITALY,OSTERIA GRANDE,40060""
","44.4286079,11.5208433"
"""POLAND,PLOCK,09-400""
","52.5403442,19.7064657"
"""ITALY,CENTO,44042""
","44.7315319,11.2908156"
"""NETHERLANDS,RIDDERKERK,2983 BR""
","51.887401,4.6062573"
"""SPAIN,LINARS DEL VALLES,8450""
","41.6393228,2.4000544"
"""ITALY,NERVIANO,20014""
","45.5535751,8.9706224"
"""GERMANY,HATTINGEN,45527""
","51.3828346,7.2097807"
"""UNITED KINGDOM,PLYMOUTH,PL5 2SA""
","50.4227116,-4.1913558"
"""ITALY,FABBRICO,42042""
","44.8704336,10.809467"
"""UNITED KINGDOM,HULL,HU8 8BT""
","53.7603534,-0.3299185"
"""ITALY,FORLI,47100""
","44.231478,12.0180168"
"""BELGIUM,MEULEBEKE,8760""
","50.9506,3.28637"
"""ITALY,NIBBIOLA,28070""
","45.3733311,8.661037"
"""POLAND,MODLNICZKA,32-085""
","50.1077906,19.845077"
"""BELGIUM,NOORDERWIJK-HERENTALS,2200""
","51.1393923,4.8388348"
"""ITALY,SANT'ANTONIO-PAVULLO,41026""
","44.3705084,10.8351675"
"""FRANCE,TOULOUSE CEDEX,31027""
","47.785421,-3.2602564"
"""FRANCE,VALFRAMBERT,61250""
","48.463098,0.108236"
"""ITALY,MONTONE,6014""
","43.9601332,12.5752291"
"""BULGARIA,KARDJALI,6600""
","41.6419986,25.3690202"
"""DENMARK,RODEKRO,6230""
","55.072687,9.329015"
"""GERMANY,HAMBURG,21107""
","53.4998604,9.9735576"
"""CZECH REPUBLIC,VYSOKE MYTO,566 01""
","49.9542636,16.1641685"
"""FRANCE,CROIX,59170""
","50.6758613,3.1492001"
"""POLAND,BIALYSTOK,15-399""
","53.1161308,23.1236791"
"""SWEDEN,SOLVESBORG,29402""
","56.0526688,14.5853386"
"""TURKEY,ANKARA,6935""
","41.0082975,29.2139531"
"""GERMANY,WIPPERFÜRTH,51688""
","51.1027282,7.397241"
"""ITALY,BUCCINASCO,20090""
","45.4210273,9.1196107"
"""POLAND,BOZEPOLE WIELKIE,84-214""
","54.5878828,17.9747548"
"""ITALY,ALBANO SANT ALESSANDRO,14057""
","45.6817582,9.7681119"
"""ITALY,QUATTORDIO,15028""
","44.8980382,8.4059018"
"""GERMANY,GMUND-AM TEGERNSEE,83703""
","47.750651,11.7370649"
"""ITALY,FABBRICO - REGGIO EMILIA,42042""
","44.8704336,10.809467"
"""ITALY,LUMEZZANE S S,25065""
","45.6474809,10.2654082"
"""ITALY,MONDOVI,12084""
","44.3953434,7.8196709"
"""ITALY,PONTIROLO NUOVO,24040""
","45.5690918,9.5700967"
"""SWEDEN,UMEÅ,90422""
","63.7776136,20.3023185"
"""ITALY,COLLEGNO,10093""
","45.0787054,7.566241"
"""ITALY,SCHIO,36015""
","45.7170517,11.3597702"
"""ITALY,CASTELNUOVO CALCEA,14040""
","44.7841521,8.2828729"
"""CZECH REPUBLIC,VELKÁ BÍTEŠ ,59501""
","49.2886269,16.2258566"
"""ITALY,ROLO,42047""
","44.8868956,10.8564626"
"""ITALY,CASALECCHIO DI RENO,40033""
","44.4782469,11.2773797"
"""FRANCE,BONDY,93147""
","46.3410256,4.9979479"
"""ITALY,UMBERTIDE,6019""
","41.8743432,12.5326258"
"""CZECH REPUBLIC,CHRUDIM,537 01""
","49.956877,15.7892366"
"""TURKEY,PENDIK,34903""
","40.8634922,29.2930875"
"""UNITED KINGDOM,STROUD,GL6 9BH""
","51.7143899,-2.152626"
"""ITALY,ODOLO,25076""
","45.6465477,10.3875607"
"""UNITED KINGDOM,LEIGHTON BUZZARD,LU7 4TZ""
","51.908937,-0.6545161"
"""ITALY,CAVENAGO DI BRIANZA,20040""
","45.5847765,9.4152832"
"""BELGIUM,SCHOTEN,2900""
","51.2497532,4.4977063"
